pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta
¿Cuál es el nombre del famoso arqueólogo interpretado por Harrison Ford?,Rick O'Connell,Indiana Jones,Alan Grant,Nathan Drake,2
¿Qué actriz protagonizó la película 'Mujer Bonita' junto a Richard Gere?,Sandra Bullock,Julia Roberts,Meg Ryan,Cameron Diaz,2
¿Cómo se llama el superhéroe conocido como el 'Caballero Oscuro'?,Superman,Batman,Spider-Man,Iron Man,2
¿Qué saga de películas presenta al personaje Frodo Baggins?,Harry Potter,El Señor de los Anillos,Star Wars,Crónicas de Narnia,2
¿Qué película de terror popular tiene una muñeca llamada Annabelle?,El Conjuro,It,Actividad Paranormal,La Monja,1
¿Quién es el director de la trilogía 'El Señor de los Anillos'?,Steven Spielberg,Peter Jackson,George Lucas,James Cameron,2
¿En qué serie aparece el personaje Walter White?,The Wire,Breaking Bad,Better Call Saul,Mad Men,2
¿Qué película incluye la frase: 'No puedes manejar la verdad'?,Un sueño posible,Algunos hombres buenos,Rescatando al soldado Ryan,El abogado del diablo,2
¿Qué director es conocido por la película 'Pulp Fiction'?,Quentin Tarantino,Martin Scorsese,Francis Ford Coppola,Steven Spielberg,1
¿Cuál es el nombre real de Spider-Man?,Peter Parker,Bruce Wayne,Clark Kent,Tony Stark,1
¿Qué película de ciencia ficción incluye al androide HAL 9000?,Blade Runner,2001: Odisea en el espacio,Matrix,Alien,2
¿Qué serie tiene a un científico loco y su nieto como protagonistas?,The Big Bang Theory,Rick y Morty,Futurama,Gravity Falls,2
¿Qué actor interpreta a Thor en el Universo Cinematográfico de Marvel?,Chris Pratt,Chris Hemsworth,Chris Evans,Tom Hiddleston,2
¿Qué película de Disney tiene a una princesa llamada Elsa?,Valiente,Enredados,Frozen,La Bella y la Bestia,3
¿En qué serie aparece el personaje Michael Scott?,Parks and Recreation,Brooklyn Nine-Nine,The Office,30 Rock,3
¿Quién dirigió 'La lista de Schindler'?,James Cameron,Martin Scorsese,Steven Spielberg,Francis Ford Coppola,3
¿Qué personaje es conocido como el 'Príncipe de las Tinieblas'?,Drácula,Loki,Voldemort,Sauron,1
¿Qué película de Pixar trata sobre un chef ratón?,Ratatouille,Los Increíbles,Buscando a Nemo,Toy Story,1
¿Cómo se llama el mejor amigo de Shrek?,El Gato con Botas,Asno,Fiona,Lord Farquaad,2
¿Quién dirigió 'Parásitos' ganadora del Oscar a Mejor Película?,Bong Joon-ho,Park Chan-wook,Ang Lee,Kim Ki-duk,1
¿Qué personaje de Marvel usa un traje de araña?,Iron Man,Black Panther,Spider-Man,Doctor Strange,3
¿Qué película tiene como protagonistas a los juguetes Woody y Buzz?,Toy Story,Ratatouille,Monsters Inc.,Cars,1
¿En qué película aparece el personaje Neo?,Matrix,Inception,Terminator,Tron,1
¿Cómo se llama el hijo de Simba en 'El Rey León 2'?,Mufasa,Nuka,Kovu,Kiara,4
¿Qué serie es conocida por el lema 'Winter is Coming'?,Game of Thrones,Vikings,The Witcher,Los Soprano,1
¿Quién protagonizó la película 'Titanic' junto a Kate Winslet?,Matt Damon,Leonardo DiCaprio,Brad Pitt,Johnny Depp,2
¿Cómo se llama el robot que protagoniza 'Big Hero 6'?,Baymax,EVA,Wall-E,BB-8,1
¿En qué película de Pixar aparece la familia Parr?,Los Increíbles,Coco,Intensa-Mente,Toy Story,1
¿Qué película de terror tiene como protagonista a un payaso llamado Pennywise?,Annabelle,It,El Conjuro,La Monja,2
¿Quién interpretó a Lara Croft en las películas de 'Tomb Raider' de 2001 y 2003?,Angelina Jolie,Alicia Vikander,Charlize Theron,Scarlett Johansson,1
¿Qué director es famoso por la película 'Dunkerque'?,Christopher Nolan,Steven Spielberg,James Cameron,Quentin Tarantino,1
¿Qué serie animada tiene como protagonista a un grupo de niños en Colorado?,Los Simpson,South Park,Futurama,Family Guy,2
¿En qué saga aparece el personaje Katniss Everdeen?,Crepúsculo,Harry Potter,Los Juegos del Hambre,Divergente,3
¿Qué actriz interpreta a Hermione Granger en las películas de Harry Potter?,Emma Watson,Emma Stone,Evangeline Lilly,Natalie Portman,1
¿Cuál es el nombre del dragón en 'Cómo entrenar a tu dragón'?,Desdentado,Furia Nocturna,Chimuelo,Hipo,3
¿Qué serie es conocida por el laboratorio de química del profesor Walter White?,House,Breaking Bad,Better Call Saul,The Sopranos,2
¿Cómo se llama el mejor amigo de Harry Potter?,Ron Weasley,Neville Longbottom,Draco Malfoy,Fred Weasley,1
¿Qué director está detrás de la película 'Titanic'?,James Cameron,Steven Spielberg,Ridley Scott,Peter Jackson,1
¿En qué película de Disney aparece el personaje de Ariel?,La Sirenita,Cenicienta,Aladdin,La Bella Durmiente,1
¿Cómo se llama el planeta natal de Superman?,Krypton,Vulcano,Asgard,Tatooine,1
¿Qué personaje de Marvel usa un escudo como arma?,Thor,Iron Man,Capitán América,Black Panther,3
¿En qué película de Pixar aparece la frase 'Hasta el infinito y más allá'?,Ratatouille,Toy Story,Buscando a Nemo,Los Increíbles,2
¿Qué actor interpreta a Tony Stark/Iron Man?,Chris Evans,Robert Downey Jr.,Mark Ruffalo,Jeremy Renner,2
¿Cómo se llama el villano en 'Los Vengadores: Infinity War'?,Loki,Ultron,Thanos,Hela,3
¿Qué serie de Netflix está basada en los libros de Andrzej Sapkowski?,The Crown,The Witcher,Stranger Things,Dark,2
¿En qué película animada aparece el personaje Miguel y una guitarra mágica?,Coco,Encanto,Viva,Soul,1
¿Qué personaje es el antagonista en 'La Bella Durmiente'?,Úrsula,Maléfica,Cruella de Vil,Jafar,2
¿Qué película incluye la frase: 'Siempre'?,Titanic,Harry Potter,El Señor de los Anillos,Crepúsculo,2
¿Qué película presenta a una banda de superhéroes llamados los Guardianes de la Galaxia?,Avengers,Thor: Ragnarok,Guardianes de la Galaxia,Capitán Marvel,3
¿Quién interpreta a Katniss Everdeen en 'Los Juegos del Hambre'?,Emma Stone,Jennifer Lawrence,Shailene Woodley,Scarlett Johansson,2
¿Cómo se llama el mentor de Luke Skywalker en Star Wars?,Darth Vader,Obi-Wan Kenobi,Yoda,Mace Windu,2
¿Qué película de terror tiene a un demonio que se manifiesta a través de una caja de música?,El Conjuro,Insidious,Annabelle,La Monja,1
¿Quién dirigió la trilogía de 'El Señor de los Anillos'?,Peter Jackson,Guillermo del Toro,James Cameron,Christopher Nolan,1
¿En qué película de Disney aparece el personaje de Baloo?,Tarzán,El Libro de la Selva,Dumbo,Bambi,2
¿Qué personaje de 'Star Wars' dijo la frase 'Yo soy tu padre'?,Yoda,Darth Vader,Luke Skywalker,Obi-Wan Kenobi,2
¿Cómo se llama la princesa de Disney que tiene un tigre llamado Rajah?,Ariel,Jasmín,Bella,Mulán,2
¿Qué película animada incluye la canción 'Libre soy'?,Frozen,Moana,Encanto,La Sirenita,1
¿En qué año se estrenó la primera película de 'Star Wars'?,1975,1977,1980,1983,2
¿Cómo se llama el protagonista de 'Volver al Futuro'?,Marty McFly,Doc Brown,George McFly,Biff Tannen,1
¿Qué actriz protagoniza 'Legalmente Rubia'?,Jennifer Aniston,Sandra Bullock,Reese Witherspoon,Drew Barrymore,3
¿Cómo se llama el villano principal de 'El Rey León'?,Scar,Mufasa,Simba,Zazu,1
¿En qué película de Pixar aparece el personaje Sulley?,Toy Story,Monsters Inc.,Cars,Ratatouille,2
¿Quién dirigió la película 'El Resplandor'?,Stanley Kubrick,Alfred Hitchcock,Francis Ford Coppola,Quentin Tarantino,1
¿Qué actriz interpreta a la Mujer Maravilla en el Universo DC?,Gal Gadot,Scarlett Johansson,Brie Larson,Margot Robbie,1
¿Cómo se llama la saga de películas basada en los libros de J.R.R. Tolkien?,Harry Potter,El Señor de los Anillos,Crónicas de Narnia,Percy Jackson,2
¿Qué película de Pixar tiene como protagonista a una niña llamada Riley y sus emociones?,Coco,Valiente,Intensa-Mente,Soul,3
¿Qué serie animada sigue las aventuras de un científico loco y su nieto?,Futurama,South Park,Rick y Morty,Los Simpson,3
¿En qué película aparece el personaje de Gollum?,El Hobbit,Harry Potter,El Señor de los Anillos,Narnia,3
¿Quién protagonizó la película 'Gladiador'?,Joaquin Phoenix,Brad Pitt,Russell Crowe,Leonardo DiCaprio,3
¿Cómo se llama el personaje principal de la película 'Matrix'?,Trinity,Morpheus,Neo,Smith,3
¿Qué película musical está basada en las canciones de ABBA?,Chicago,Moulin Rouge,Mamma Mia!,Grease,3
¿Qué saga de películas tiene como villano a Lord Voldemort?,Harry Potter,El Señor de los Anillos,Narnia,Crepúsculo,1
